# time, vdd, inp, inn, out
1.980300788494313512e-04,3.918195269034119299e-01,6.481952690341195034e-01,7.627366883238837492e-01,2.836884312166280259e-02
2.000000000000000096e-04,3.800000000000000044e-01,5.300000000000000266e-01,6.800000000000000488e-01,2.018265682715970899e-02
2.001790441988045646e-04,3.921750055187097628e-01,5.389522099402277444e-01,6.737334530418406242e-01,2.203134469046850660e-02
2.005371325964136746e-04,4.165250165561292239e-01,5.568566298206832910e-01,6.612003591255217749e-01,2.898709986177919889e-02
2.012533093916318676e-04,4.652250386309663699e-01,5.926654695815929408e-01,6.361341712928849645e-01,5.669699905764980646e-02
2.026856629820682806e-04,5.626250827806424937e-01,6.642831491034135727e-01,5.860017956276105666e-01,1.439414364436087945e-01
2.039793242236844601e-04,6.505940472105427030e-01,7.289662111842225567e-01,5.407236521710442334e-01,2.653446627215658715e-01
2.056515485376325528e-04,7.643053005590130233e-01,8.125774268816272627e-01,4.821958011828609836e-01,5.236204196140978873e-01
2.074143600392861484e-04,8.841764826714575420e-01,9.007180019643070690e-01,4.204973986249851414e-01,8.228344891762284785e-01
2.100000000000000087e-04,1.060000000000000053e+00,1.030000000000000027e+00,3.300000000000000155e-01,1.050360515023944341e+00
2.103405800051718429e-04,1.041608679720720909e+00,1.022166659881047934e+00,3.214854998707041833e-01,1.045476836580990776e+00
2.110217400155154840e-04,1.004826039162164397e+00,1.006499979643144194e+00,3.044564996121131295e-01,1.020239422828236098e+00
2.123840600362027935e-04,9.312607580450495970e-01,9.751666191673359352e-01,2.703984990949304112e-01,9.447367824218123600e-01
2.151087000775773854e-04,7.841301958108216619e-01,9.124998982157204175e-01,2.022824980605655854e-01,7.989586799601651190e-01
2.186394783886734202e-04,5.934681670116357388e-01,8.312919970605114894e-01,1.140130402831646961e-01,6.079965525324513287e-01
2.200000000000000078e-04,5.200000000000000178e-01,8.000000000000000444e-01,8.000000000000000167e-02,5.355677310709480166e-01
2.202882875834261372e-04,5.058739084121196550e-01,7.847207580784152370e-01,7.827027449944322368e-02,5.208165786089522520e-01
2.208648627502783960e-04,4.776217252363589849e-01,7.541622742352455111e-01,7.481082349832966771e-02,4.923328623157158801e-01
2.220180130839829406e-04,4.211173588848363125e-01,6.930453065489046161e-01,6.789192149610240312e-02,4.393306877766313678e-01
2.243243137513920298e-04,3.081086261817909122e-01,5.708113711762228260e-01,5.405411749164787394e-02,3.511174459900154310e-01
2.271348256101388054e-04,1.703935451031988735e-01,4.218542426626437081e-01,3.719104633916721359e-02,2.837224883212463022e-01
2.298316585901372892e-04,3.824872908327320298e-02,2.789220947227241121e-01,2.101004845917631148e-02,2.459706253831022982e-01
2.300000000000000070e-04,2.999999999999999889e-02,2.700000000000000178e-01,2.000000000000000042e-02,2.439127258546629207e-01
2.303366828197254425e-04,2.898995154082369477e-02,2.757236079353324043e-01,4.491452865968216523e-02,2.401707336801228165e-01
2.310100484591763137e-04,2.696985462247108653e-02,2.871708238059971774e-01,9.474358597904650181e-02,2.331048190500891182e-01
2.320726207823956997e-04,2.378213765281293746e-02,3.052345533007266853e-01,1.733739378972808665e-01,2.213209844690315897e-01
2.335961981568474889e-04,1.921140552945758279e-02,3.311353686664070262e-01,2.861186636067130085e-01,1.643770211995073671e-01
2.356086892042436954e-04,1.317393238726897661e-02,3.653477164721424808e-01,4.350430011140318798e-01,1.778216137182923526e-02
2.367841365078317056e-04,9.647590476504958046e-03,3.853303206331385455e-01,5.220261015795444326e-01,-5.776659375152782931e-03
2.378985122146472480e-04,6.304463356058338797e-03,4.042747076490027514e-01,6.044899038838943417e-01,5.033299581460127202e-03
2.384297297643521549e-04,4.710810706943621001e-03,4.133054059939861302e-01,6.438000025620573830e-01,8.745369905867741512e-04
2.386577228168095281e-04,4.026831549571504437e-03,4.171812878857614759e-01,6.606714884439028879e-01,1.831336829529421964e-03
2.388555423837333336e-04,3.433372848800089749e-03,4.205442205234661834e-01,6.753101363962644710e-01,2.203635596839019408e-03
2.390607070903720446e-04,2.817878728883956019e-03,4.240320205363242723e-01,6.904923246875290799e-01,2.537671859818217950e-03
2.394300520758747028e-04,1.709843772375988641e-03,4.303108852898693826e-01,7.178238536147256710e-01,3.192399058844057076e-03
2.400000000000000332e-04,0.000000000000000000e+00,4.400000000000000022e-01,7.600000000000000089e-01,4.465161555041429094e-03
2.400738689971005594e-04,4.062794840528953511e-03,4.424376769043174007e-01,7.605909519768042637e-01,4.573218222196235791e-03
2.402216069913016118e-04,1.218838452158686053e-02,4.473130307129521421e-01,7.617728559304126623e-01,4.742678386931956265e-03
2.405170829797037438e-04,2.843956388370416644e-02,4.570637383302225132e-01,7.641366638376296816e-01,4.929028752812801041e-03
2.411080349565080077e-04,6.094192260793877824e-02,4.765651535647632553e-01,7.688642796520638312e-01,5.189398593750349682e-03
2.420038587332367481e-04,1.102122303280196336e-01,5.061273381968117713e-01,7.760308698658937576e-01,5.632994458423668492e-03
2.437955062866942559e-04,2.087528457681828709e-01,5.652517074609096914e-01,7.903640502935538326e-01,7.002950193792219225e-03
2.460198501358005596e-04,3.310917574690299126e-01,6.386550544814179053e-01,8.081588010864043659e-01,1.412787704653486673e-02
2.482934780806928888e-04,4.561412944381083578e-01,7.136847766628650058e-01,8.263478246455430165e-01,6.075997461617427958e-02
2.500000000000000052e-04,5.500000000000000444e-01,7.700000000000000178e-01,8.399999999999999689e-01,1.398514750838310561e-01
2.502416072103332348e-04,5.417853548486702975e-01,7.695167855793335621e-01,8.416912504723326194e-01,1.433752224090086291e-01
